Location,Details,Space,Bedrooms,Bathrooms,Description,Price
التجمع الخامس,شقة175 متر في التجمع الخامس ,175,3,2,٣ غرف نوم | حمّامين ,0
مدينة نصر,لوساكا متفرع من احمد فخرى,270,3,1,٣ غرف نوم | حمّام ,2100000
اكتوبر الجديدة,شقة للبيع في كمبوند صن كابيتال,126,2,2,٢ غرفتا نوم | حمّامين ,4600000
أخرى,شقة 90 متر المهندسين بجوار مدبنة الطلبةش,90,2,1,٢ غرفتا نوم | حمّام ,1
اكتوبر الجديدة,شقق للبيع متشطب,80,2,1,٢ غرفتا نوم | حمّام ,750000
مصر القديمة,شقه للبيع بمدينه الفسطاط الجديدة,185,3,2,٣ غرف نوم | حمّامين ,2450000
عين شمس,شقة لقطة للبيع ف عين شمس الشرقية,120,2,1,٢ غرفتا نوم | حمّام ,780000
مدينتي,للبيع بمدينتي بارقي المواقع B8 استلام فوري 148م,148,3,2,٣ غرف نوم | حمّامين ,6250000
مدينتي,شقة بمدينتى 116 متر اقساط سبع سنوات,116,3,2,٣ غرف نوم | حمّامين ,4480000
التجمع الأول,شقه للبيع من المالك بكمبوند,92,2,1,٢ غرفتا نوم | حمّام ,2200000
القاهرة الجديدة,استلم شقتك متشطب سوبر لوكس بالمطبخ,160,3,3,٣ غرف نوم | ٣ حمّامات ,900000
حلوان,شقه للبيع 100متر,100,3,1,٣ غرف نوم | حمّام ,600
مدينتي,شقة للبيع ب مدينتى 100م2,100,2,2,٢ غرفتا نوم | حمّامين ,3000000
النزهة,شقه للبيع  بالنزهه 2,110,3,1,٣ غرف نوم | حمّام ,0
القاهرة الجديدة,شقه ريسيل للبيع بأفضل كمبوند بالقاهره الجديده بجوار مدينتى,108,2,2,٢ غرفتا نوم | حمّامين ,407000
المطرية,شقة في المطرية للبيع,100,2,1,٢ غرفتا نوم | حمّام ,250000
التجمع الخامس,Apartment for sale district 5,156,2,3,٢ غرفتا نوم | ٣ حمّامات ,5200000
التجمع الأول,شقه للبيع في كمبوند تاج سيتي امام اكاديميه الشرطه,178,4,3,٤ غرف نوم | ٣ حمّامات ,8000000
مدينة نصر,شقه 150 م2  ((( للبيع )))   صافي 130 م بالقرب من السراج مول المنطقه الثانه م. نصر  1580000 جم,150,2,1,٢ غرفتا نوم | حمّام ,1800000
مدينة نصر,شقه لقطه في مدينه نصر380الف,80,2,1,٢ غرفتا نوم | حمّام ,380
التجمع الخامس,شقه بموقع متميز بالنرجس الجديدة,185,3,2,٣ غرف نوم | حمّامين ,18000
المعادي,شقة بالمعادي لقطة,132,2,2,٢ غرفتا نوم | حمّامين ,950000
التجمع الأول,دوبلكس للبيع استلام فوري متشطب,210,3,3,٣ غرف نوم | ٣ حمّامات ,5800000
التجمع الخامس,K-شقه للبيع بالتكيفات في التجمع الخامس,149,2,1,٢ غرفتا نوم | حمّام ,993000
مدينة نصر,شقه المنطقه الأولى مدينه نصر للبيع,200,3,2,٣ غرف نوم | حمّامين ,3200000
التجمع الخامس,"luxury apartment For sale prime location #Hyde_Park Compound .
- Area : 113m (2 BR",113,2,1,٢ غرفتا نوم | حمّام ,650000
مدينتي,شقه للبيع في كمبوند سراي سور في سور في مدينتي برايم لوكيشن 10 دقايق من مصر الجديده ومدينه نصر,175,4,4,٤ غرف نوم | ٤ حمّامات ,900000
مدينة بدر,شقه للبيع في مدينه بدر علي طريق السويس مباشر 5 دقايق من العاصمه الاداريه,170,3,2,٣ غرف نوم | حمّامين ,0
التجمع الخامس,شقة 155 متر للبيع بالجولدن سكوير بجوار ليك فيو بتقسيط,155,3,2,٣ غرف نوم | حمّامين ,5700000
التجمع الأول,K-شقه للبيع في التجمع الاول بكمبوند تاج سيتي,135,2,1,٢ غرفتا نوم | حمّام ,560000
التجمع الخامس,"شقة بجاردن ع المفتاح بالجولدن سكوير بالتقسيط""",166,2,1,٢ غرفتا نوم | حمّام ,6850000
التجمع الخامس,"كود  A6
شقه بالتجمع الخامس خلف ماونتن فيو مساحه 200 م  3 غرف 3حمام و ليفنج روم و ريسبشن كبير اسانسير",200,3,3,٣ غرف نوم | ٣ حمّامات ,28000000
مدينتي,شقه للبيع سراي سور في سور مدينتي,150,2,2,٢ غرفتا نوم | حمّامين ,400000
التجمع الخامس,استلام فورى بخصم 1000 جنيه على المتر فى بيت الوطن التجمع الخامس,210,3,3,٣ غرف نوم | ٣ حمّامات ,15500
التجمع الأول,"باقل سعر متر
بشمال الرحاب",173,3,3,٣ غرف نوم | ٣ حمّامات ,16000
مدينتي,شقه للبيع في سراي سور في سور مدينتي,176,3,2,٣ غرف نوم | حمّامين ,800000
القاهرة الجديدة,K-شقه للبيع بالتقسيط في القاهرة الجديده بسعر لقطه,141,3,2,٣ غرف نوم | حمّامين ,504000
التجمع الأول,بيبت الوطن الحى الخامس,220,3,3,٣ غرف نوم | ٣ حمّامات ,14000
التجمع الخامس,اشترى دلوقتي في ماونتن فيو بمقدم يبدأ من 230 ألف,200,3,3,٣ غرف نوم | ٣ حمّامات ,4600000
التجمع الخامس,امتلك وحدتك الان استلام فورى بمقدم 10% و اقساط على 6 سنين,160,3,2,٣ غرف نوم | حمّامين ,500000
العاصمة الإدارية الجديدة,امتلك وحدة سكنية في العاصمة الادارية الجديدة بمقدم 5%و قساط علي 10 سنين,175,4,4,٤ غرف نوم | ٤ حمّامات ,4071000
عزبة النخل,شقه 150 سوبر لوكس,150,5,2,٥ غرف نوم | حمّامين ,1400000
مدينتي,شقه للبيع في سراي سور في سور في مدينتي,165,2,2,٢ غرفتا نوم | حمّامين ,700000
هليوبوليس الجديدة,شقه بالتقسيط ( 3 غرف) تشطيب الترا سوبر لوكس  بهليوبوليس الجديدة - N,174,3,3,٣ غرف نوم | ٣ حمّامات ,854000
المرج,شقه بشارع الورشه طريق القسم,90,3,1,٣ غرف نوم | حمّام ,420000
المرج,شقه بدل بسياره,86,3,1,٣ غرف نوم | حمّام ,420000
مدينة نصر,فرصه شقه للبيع بمدينه نصرالحي السابع شارع محمد فريد بجورانبي,170,2,2,٢ غرفتا نوم | حمّامين ,2100000
مدينة الشروق,أسكن أمام مدينتي مباشرة وأمتلك شقة 159م+ROOF كمبوند المعادي فيو الشروق,159,3,3,٣ غرف نوم | ٣ حمّامات ,560000
السيدة زينب,شقة 130م للبيع بتسهيلات في السداد كمبوند الفسطاط الجديدة New Fustat City,130,2,2,٢ غرفتا نوم | حمّامين ,320000
السيدة زينب,أمتلك بأقل مقدم وأطول فترة سداد شقة 170م متشطبة كمبوند الفسطاط الجديدة,170,3,3,٣ غرف نوم | ٣ حمّامات ,410000
15 مايو,شقه للبيع ب مدينه 15 مايو مجاوره 28 دور تاني,80,3,1,٣ غرف نوم | حمّام ,480
مدينة نصر,شقه فخمه وراقيه للبيع,210,2,2,٢ غرفتا نوم | حمّامين ,0
مدينة نصر,"مواصفات الشقة : 
شقة في مدينة نصر شارع معز الدوله موازي لابو داوود الظاهري 
بحري 
185 متر صافي 
3 غر",185,3,2,٣ غرف نوم | حمّامين ,0
مدينة نصر,"للبيع مدينه نصر المنطقة الثامنه  شقتين مفتوحين على بعض
*مساحه 260 متر ,*صافي 
الدور. ( 5،)",260,4,3,٤ غرف نوم | ٣ حمّامات ,0
الحى الثامن,Apt. Main street next to monorail station,200,3,2,٣ غرف نوم | حمّامين ,3500000
مدينة نصر,للبيع بالمنطقه التاسعه مدينه نصر شقه مساحه 190متر تشطيب سوبر لوكس الدور التامن تلات غرف كبار,190,3,2,٣ غرف نوم | حمّامين ,0
مدينة نصر,الشقه مساحه 200 صافي بحري 100٪؜ تنطل علي الحديقه الدوليه من الخلف 3 غرفه نوم و2 حمام ورسبشن كبير,200,3,2,٣ غرف نوم | حمّامين ,0
مصر الجديدة,فرصة عظيمة في ارقي المناطق بحي مصر الجديدة شقة 240 م2 للبيع,240,3,3,٣ غرف نوم | ٣ حمّامات ,35000
مدينة الرحاب,شقه للبيع.,155,3,2,٣ غرف نوم | حمّامين ,3810675
التجمع الخامس,بنتهاوس للبيع بالتجمع الخامس استلام فوري بالتقسيط علي 6 سنين,220,3,3,٣ غرف نوم | ٣ حمّامات ,10
مدينة نصر,شقة للبيع بكمبوند بانوراما المقاولين العرب بجوار نادي السكة الحديد و نادى المقاولين العرب,210,4,3,٤ غرف نوم | ٣ حمّامات ,4500000
القاهرة الجديدة,ادفع 400000واستلم في شقتك,200,3,3,٣ غرف نوم | ٣ حمّامات ,400000
القاهرة الجديدة,ادفع 400000 واستلم شقتك,200,3,3,٣ غرف نوم | ٣ حمّامات ,400000
التجمع الأول,شقة للبيع 175متر بكمبوند تاج سيتي taj city,175,3,2,٣ غرف نوم | حمّامين ,600000
المعادي,ابراج كورنيش النيل,210,3,2,٣ غرف نوم | حمّامين ,2500000
مصر الجديدة,فرصة عظيمة في ارقي المناطق بحي مصر الجديدة شقة 240 م2 للبيع,240,3,3,٣ غرف نوم | ٣ حمّامات ,5000000
السيدة زينب,أمتلك بأقل مقدم وأطول فترة سداد شقة 170م متشطبة كمبوند الفسطاط الجديدة,170,3,3,٣ غرف نوم | ٣ حمّامات ,400000
مدينة الرحاب,شقه للبيع في الرحاب مقدم واقساط 7 سنوات استلام فوري بحري بالكامل لوكيشن مميز وايد جاردن كلها خدمات,131,3,2,٣ غرف نوم | حمّامين ,5500000
مدينة نصر,شقة للبيع مساكن الشروق خلف النادي الأهلي,100,2,2,٢ غرفتا نوم | حمّامين ,400
القاهرة الجديدة,شقه للبيع 175متر Open View امام الرحاب بكمبوند creek town بالتقسيط,175,3,2,٣ غرف نوم | حمّامين ,740000
زهراء المعادي,استلام فوري 234 متر بحري في زهراء المعادي,13500,4,3,٤ غرف نوم | ٣ حمّامات ,7500000
أخرى,حدائق اكتوبر,150,3,3,٣ غرف نوم | ٣ حمّامات ,2391000
مصر الجديدة,شقة في برج روكسي الدور السابع,180,3,2,٣ غرف نوم | حمّامين ,2500000
مصر الجديدة,شقة في برج روكسي الدور السابع,180,3,2,٣ غرف نوم | حمّامين ,2500000
التجمع الخامس,النرجس الجديدة,153,3,3,٣ غرف نوم | ٣ حمّامات ,1000000
مدينة بدر,وحده للبيع,220,2,1,٢ غرفتا نوم | حمّام ,500000
التجمع الخامس,مشروع f45 بيت الوطن,171,3,2,٣ غرف نوم | حمّامين ,2350000
المعادي,استوديو 79 متر مميز بمقدم 122 الف وقسط 6 سنوات بعائد استثمارى 7000 جنيه,79,1,1,ستوديو | حمّام ,2441100
التجمع الأول,شقة للبيع تشطيب الترا سوبر لوكس تاني نمره من التسعين الشمالي,215,3,3,٣ غرف نوم | ٣ حمّامات ,4300000
التجمع الخامس,للبيع شقة 3غرف استلام فوري ف جاليريا Galleria ف قلب التجمع الخامس,195,3,2,٣ غرف نوم | حمّامين ,1146000
مدينة الشروق,للبيع شقة 110م في كمبوند سراي sarai علي طريق السويس مباشرا,110,2,2,٢ غرفتا نوم | حمّامين ,3000000
شبرا,شقة بشبرا مصر جسر البحر,60,2,1,٢ غرفتا نوم | حمّام ,280000
القاهرة الجديدة,شقه في #القاهره_الجديده للبيع 112م في كومبوند متكامل الخدمات,112,2,2,٢ غرفتا نوم | حمّامين ,282000
القاهرة الجديدة,شقه #للبيع بمقدم 282 الف في ارقي كومبوند سكني,112,2,2,٢ غرفتا نوم | حمّامين ,282000
القاهرة الجديدة,للبيع في كومبوند #سراي شقه 112م بمقدم 282 الف,112,2,2,٢ غرفتا نوم | حمّامين ,282000
القاهرة الجديدة,شقه 112م للبيع في كومبوند متكامل في القاهره الجديده,112,2,2,٢ غرفتا نوم | حمّامين ,282000
مدينة نصر,شقه 90م للبيع بمدينه نصر موقع ممتاز,90,3,1,٣ غرف نوم | حمّام ,1250000
اكتوبر الجديدة,"شقه
شقق للبيع",145,3,2,٣ غرف نوم | حمّامين ,0
مصر الجديدة,"شقة للبيع فى ارقي مناطق مصر الجديدة ميدان الحجاز
شقة 230م للبيع فى ارقي مناطق مصر الجديدة ميدان الحج",230,3,2,٣ غرف نوم | حمّامين ,3500000
عزبة النخل,شقه بعزبة النخل ش عماره الشعله 3 غرف وصاله ومطبخ وحمام عداد كهرباء وغاز,70,3,1,٣ غرف نوم | حمّام ,350000
القاهرة الجديدة,ادفع 500الف واستلم شقتك,200,3,2,٣ غرف نوم | حمّامين ,500000
مدينة بدر,شقه للبيع في مدينه بدر 5 دقايق من العاصمه الاداريه,145,3,2,٣ غرف نوم | حمّامين ,800000
التجمع الخامس,95 متر للبيع خلف الجامعه الامريكيه  التجمع,95,2,1,٢ غرفتا نوم | حمّام ,1150000
مدينة بدر,شقة على جاردن للبيع في أحد أفضل أحياء مدينة بدر ( الحي المتميز ),140,3,2,٣ غرف نوم | حمّامين ,680000
مدينة نصر,شقه للبيع بمدينه نصر موقع ممتاز,105,3,1,٣ غرف نوم | حمّام ,1400000
مدينة نصر,شقه للبيع لقطه وفخمه,210,2,1,٢ غرفتا نوم | حمّام ,4000000
المقطم,شقة بالمقطم 270 متر  ,270,4,3,٤ غرف نوم | ٣ حمّامات ,2700000
مصر الجديدة,شقة للبيع بالكوربة,140,2,2,٢ غرفتا نوم | حمّامين ,2200000
المقطم,شقة للبيع 500 متر + 500 متر روف اول سكن بالمقطم الهضبة العليا (محيط اولاد رجب القديم ),1000,5,5,٥ غرف نوم | ٥ حمّامات ,35000000
مدينة نصر,شقة للبيع من عباس العقاد ومكرم عبيد,200,3,2,٣ غرف نوم | حمّامين ,2700000
المعادي,شقة للبيع علي كورنيش المعادي,200,4,3,٤ غرف نوم | ٣ حمّامات ,1
غمرة,شقة في شارع رمسيس الرئيسي تشطيب لوكس,70,2,1,٢ غرفتا نوم | حمّام ,0
أخرى,شقة 175 م فى جسر السويس الجديدة النخيل,650,3,2,٣ غرف نوم | حمّامين ,850000
مدينة نصر,شقة للبيع 200 م فى زهراء مدينة نصر,200,3,2,٣ غرف نوم | حمّامين ,600000
المطرية,شقة للبيع. 150م,135,3,2,٣ غرف نوم | حمّامين ,700000
الزاوية الحمراء,شقه للبيع تمليك 140م,140,3,1,٣ غرف نوم | حمّام ,400000
التجمع الخامس,فرصه 130 متر تشطيب لمام نادي بلوتنيوم بلوتس الشمالي,130,3,1,٣ غرف نوم | حمّام ,2150000
السيدة زينب,شقه للبيع لقطه,110,2,1,٢ غرفتا نوم | حمّام ,850
التجمع الخامس,بمقدم5% احجز شقتك فى كمبوند ريفالى التجمع الخامس,129,2,2,٢ غرفتا نوم | حمّامين ,0
العاصمة الإدارية الجديدة,شقه 200 م صافي 191 م !!!,200,4,3,٤ غرف نوم | ٣ حمّامات ,19500
دار السلام,شقه ممتازه للبيع,110,2,1,٢ غرفتا نوم | حمّام ,480
القاهرة الجديدة,اقل سعر متر و افضل موقع في بيت الوطن,172,3,3,٣ غرف نوم | ٣ حمّامات ,2493000
مدينة الشروق,لسرعه للبيع فيلا مستقله بالتقسيط في  مدينة الشروق,305,3,3,٣ غرف نوم | ٣ حمّامات ,1750000
الزيتون,شقه للبيع حمامات القبه,90,3,1,٣ غرف نوم | حمّام ,0
العاصمة الإدارية الجديدة,سمارت كمبوند بالعاصمه الاداريه بالشراكه مع شركه اتصالات مصر,115,2,1,٢ غرفتا نوم | حمّام ,2800000
مدينة بدر,لهواه الاستثمار شقتك امام جامعه بدر تقدر تاجرها 4000ج,86,2,1,٢ غرفتا نوم | حمّام ,400000
مدينة بدر,شقة لقطة في الحي المتميز 160م علي طريق السويس والسعر لقطة,160,3,1,٣ غرف نوم | حمّام ,700000
التجمع الخامس,النرجس فيلات,210,3,3,٣ غرف نوم | ٣ حمّامات ,0
التجمع الأول,شقه للبيع في التجمع الاول امام فندق الكمبنسكي,165,2,2,٢ غرفتا نوم | حمّامين ,600000
مدينتي,شقه للبيع في سراي سور في سور مدينتي,176,4,2,٤ غرف نوم | حمّامين ,800000
الزاوية الحمراء,شقه للبيع تمليك 140م,140,3,1,٣ غرف نوم | حمّام ,400000
التجمع الأول,شقة ارضي بحديقة متشطبة سوبر لوكس,97,2,1,٢ غرفتا نوم | حمّام ,2200000
المقطم,شقة دوبلكس بالمقطم الهضبه العليا,311,3,4,٣ غرف نوم | ٤ حمّامات ,4500000
مدينة نصر,شقه للبيع ف حي الواحه,175,3,2,٣ غرف نوم | حمّامين ,2100000
مدينة بدر,شقق للبيع فيو مفتوح حديقة  تاني نمره من الخدمات بالحي المتميز مدينه بدر,140,3,2,٣ غرف نوم | حمّامين ,775000
التجمع الخامس,الوحيدة ناصية بحري علي اكبر جاردن بالنرجس الجديدة,160,3,2,٣ غرف نوم | حمّامين ,2700000
مدينتي,"شقة لقطة للبيع اقل من سعر السوق لسرعة البيع.

 مساحة الشقة 108 متر + 45 متر حديقة خاصة.

 الشقة",108,2,1,٢ غرفتا نوم | حمّام ,3500000
العبور,شقه 190 متر ارضي ب جاردن استلام فرري نص تشطيب,190,3,3,٣ غرف نوم | ٣ حمّامات ,1750000
مدينة نصر,المنطقه ال 11 مدينة نصر,105,2,1,٢ غرفتا نوم | حمّام ,1400000
أخرى,شقة مفروشة للبيع في الاردن,115,2,1,٢ غرفتا نوم | حمّام ,1750000
التجمع الخامس,استلام  فوري شقة 195م بكمبوند جاليريا مون فالي التجمع الخامس,195,3,3,٣ غرف نوم | ٣ حمّامات ,980000
مدينة الرحاب,طرح جديد من بنك التعمير والاسكان تشطيب هاي سوبر لوكس استلام فوري وتقسيط علي 10 سنوات,135,3,3,٣ غرف نوم | ٣ حمّامات ,3000000
التجمع الخامس,شقة فندقية في كمبوند هايدبارك التجمع الخامس تقسيط علي 8سنوات,170,3,3,٣ غرف نوم | ٣ حمّامات ,4500000
المعادي,شقة للبيع بالمعادي,135,3,2,٣ غرف نوم | حمّامين ,2
مدينتي,ماونتن فيو تطرح مشروعها الجديد بالقاهرة الجديدة وقسط علي 8سنوات بمقدم 5 ٪,180,3,3,٣ غرف نوم | ٣ حمّامات ,4500000
التجمع الخامس,شقة للبيع 3غرف في وتر واي water way التجمع الخامس استلام فوري وتقسيط علي 5سنوات,180,3,3,٣ غرف نوم | ٣ حمّامات ,7000000
مدينتي,"للبيع بمدينتي  131م ب ال B6 دور رابع تشطيبات الترا سوبر لوكس
اول سكن بجوار الثاوث بارك والخدمات",131,3,2,٣ غرف نوم | حمّامين ,4100000
مدينة نصر,شقة بمدينة نصر تسليم فورى مساحتها 150 متر مكونة من 3 غرف وريسبيشن 3 قطع و2 حمام,150,3,2,٣ غرف نوم | حمّامين ,500000
مصر الجديدة,شقه للبيع مصر الجديده جسر السويس الرئيسي قرب اشارة روكسي وسنان الزيتون,160,3,1,٣ غرف نوم | حمّام ,3200000
المقطم,كومباوند لاچور دوبلكس ارضي و اول على حمام السباحة مباشرة,240,3,2,٣ غرف نوم | حمّامين ,2500000
النزهة,شقة البيع النزهة 2 جسر السويس,125,2,1,٢ غرفتا نوم | حمّام ,580000
التجمع الخامس,شقه لقطه تشطيب سوبر لوكس حي الاندلس التجمع,205,3,2,٣ غرف نوم | حمّامين ,3100000
العاصمة الإدارية الجديدة,احجز وحدتك الان في العاصمه الاداريه بأفضل سعر,115,2,1,٢ غرفتا نوم | حمّام ,20000
عين شمس,شقة للبيع موقعها مميز جدا شارع نور الاسلام عين شمس الشرقية,85,2,1,٢ غرفتا نوم | حمّام ,470000
مدينة نصر,شقه للبيع في المنطقه العاشره بمدينه نصر,165,4,2,٤ غرف نوم | حمّامين ,2100000
روض الفرج,شقق جديدة للايجار,300,4,1,٤ غرف نوم | حمّام ,11111
مدينة الشروق,للبيع بمدينة الشروق دوبليكس بنتهاوس,260,3,2,٣ غرف نوم | حمّامين ,2300000
مدينة بدر,وحده سكنيه للبيع,140,3,2,٣ غرف نوم | حمّامين ,900000
المعادي,شقه للبيع بالمعادى,140,2,1,٢ غرفتا نوم | حمّام ,1900000
مدينة الرحاب,شقة تمليك 162 متر امام مول افينيو و كارفور مباشرة,162,3,2,٣ غرف نوم | حمّامين ,6000000
مدينة نصر,شقه كبيره عماره جديده خلف صن مول زهراء م نصر,200,3,2,٣ غرف نوم | حمّامين ,1250000
مدينة الرحاب,شقه مفروشه للايجار,90,2,1,٢ غرفتا نوم | حمّام ,27000
المعادي,شقة 120 متر بكمبوند امتداد الامل اوتوستراد المعادي,129,3,2,٣ غرف نوم | حمّامين ,1300000
المعادي,شقه لبيع بالمعادي بشارع 68ب تشطيب الترا سوبر لوكس 2 نوم ورسبشن وحمام ومطبخ,135,2,1,٢ غرفتا نوم | حمّام ,0
مصر الجديدة,شقة للبيع.,300,1,3,أكثر من 6 غرف | ٣ حمّامات ,2500000
العاصمة الإدارية الجديدة,شقه 145م فى الR7 بمقدم 10%,145,3,2,٣ غرف نوم | حمّامين ,3500000
التجمع الخامس,دوبلكس لقطة للبيع بسعر شقة في #التجمع_الخامس,170,3,3,٣ غرف نوم | ٣ حمّامات ,1000000
مدينتي,شقه 96م لقطه بيع مدينتي بجوار الخدمات,96,2,2,٢ غرفتا نوم | حمّامين ,2650000
العبور,‎ شقه في جمعية 6 اكتوبر تاني بلكونه,120,2,1,٢ غرفتا نوم | حمّام ,800000
العاصمة الإدارية الجديدة,شقه للبيع داخل أميز كمبوند بالعاصمه الاداريه الجديده شكل دوبلكس استلام فوري الكمبوند كامل الخدما,263,4,5,٤ غرف نوم | ٥ حمّامات ,3500000
النزهة,شقه للبيع دور 3 استلام فورى النزهه الجديده,150,3,2,٣ غرف نوم | حمّامين ,270000
مدينة نصر,القاهرة مدينه نصر,230,3,2,٣ غرف نوم | حمّامين ,3250000
التجمع الأول,شقه لقطه في الرحاب اقساط ل 7 سنوات,131,3,2,٣ غرف نوم | حمّامين ,3600000
العاصمة الإدارية الجديدة,"#لونش_جديد_في_أخر_قطعة_ارض_في_R7 

المشروع في اميز قطعه في سنتر الR7 
وعلي اعلي ربوء في المنطقة ……..",50000,3,3,٣ غرف نوم | ٣ حمّامات ,0
التجمع الخامس,شقة تكملة اقساط بكمبوند جالاريا مون فالي,173,3,3,٣ غرف نوم | ٣ حمّامات ,6300000
المقطم,شقة للبيع تصلح تمويل عقاري مسجلة,220,3,1,٣ غرف نوم | حمّام ,1000000800
السيدة زينب,كمبوند الفسطاط القاهرة الجديدة  يقع علي شارع صلاح سالم مباشره وامام سور مجري العيون,152,3,3,٣ غرف نوم | ٣ حمّامات ,370000
التجمع الخامس,إستلام فورى 120 متر بالتجمع الخامس,120,2,1,٢ غرفتا نوم | حمّام ,4800000
مدينة نصر,شقة في مدينة نصر في الحي العاشر,165,3,1,٣ غرف نوم | حمّام ,2100000
مدينة بدر,شقه للبيع في أحد أفضل أحياء مدينة بدر ( لحي المتميز ),140,3,2,٣ غرف نوم | حمّامين ,725000
التجمع الخامس,افضل شقه وافضل موقع بجاردينياهايتس1مساحة دوركامل230م ناصيه,230,3,2,٣ غرف نوم | حمّامين ,2200000
مدينتي,شقه للبيع في سراي سور في سور مدينتي,150,3,2,٣ غرف نوم | حمّامين ,4000000
مدينة بدر,شقق للبيع من شركه البيت الفضي مدينه بدر مساحات مختلفه تسهيلات في السداد,140,3,2,٣ غرف نوم | حمّامين ,1
العاصمة الإدارية الجديدة,شقه 2 غرفه للبيع استلام فوري تشطيب بالكامل ب اقساط على 10 سنين,113,2,2,٢ غرفتا نوم | حمّامين ,3000000
التجمع الخامس,"بأقل من سعر الشركة لسرررعة البيع
شقة للبيع 220م بالتجمع الخامس (( كمبوند ستون ريذيدنس ))",220,4,3,٤ غرف نوم | ٣ حمّامات ,4650000
العاصمة الإدارية الجديدة,شقه للبيع رسيل من كمبوند ديچويا 2 داخل العاصمه الاداريه الجديده تكمله اقساط,152,3,2,٣ غرف نوم | حمّامين ,200000
العاصمة الإدارية الجديدة,"شقه للبيع داخل كمبوند ارمونيا مساحه 136 متر
3 غرف - 2 حمام",136,3,2,٣ غرف نوم | حمّامين ,4000000
مدينة الرحاب,"شقة 155م للبيع بمدينة الرحاب 
 بالمرحلة الخامسه الجديده
 3 غرف + 2 حمام
 جانب مسجد",155,3,2,٣ غرف نوم | حمّامين ,0
التجمع الخامس,شقة للبيع في التجمع الخامس,105,2,1,٢ غرفتا نوم | حمّام ,1630000
مدينة نصر,شقه للبيع بمدينه نصر المنطقه السادسه شارع متفرع من مكرم عبيد,140,2,1,٢ غرفتا نوم | حمّام ,0
مدينة الرحاب,للبيع لقططه فيو دبل فيو موقع مميز 155م اسانسير  بحرى  على  وايد جاردن,156,3,3,٣ غرف نوم | ٣ حمّامات ,5700000
مدينتي,لقطة للبيع شقة 3 غرف نوم  2 حمام اسانسير مدينتى باقل سعر بمدينتى,103,3,2,٣ غرف نوم | حمّامين ,2650000
مدينة الرحاب,شقه مفروشه للبيع,92,2,1,٢ غرفتا نوم | حمّام ,4000000
المعادي,شقه للبيع  بكمبوند كريستال بلازه,109,2,1,٢ غرفتا نوم | حمّام ,1300000
مدينة الشروق,امتلك شقتك فى مدينتى,89,2,2,٢ غرفتا نوم | حمّامين ,0
حلوان,شقه لقطه للبيع علي كورنيش النيل مباشر,200,3,3,٣ غرف نوم | ٣ حمّامات ,1800000
المعصره,شقة للبيع بالمعصرة البلد كورنيش,150,4,1,٤ غرف نوم | حمّام ,380000
مدينة نصر,شقه ب بمدينة نصر عمارات الفرسان امام سيتي  ستار بطريق النصر الرئيسي 250م تطل ع ناظى الفروسيه,250,3,3,٣ غرف نوم | ٣ حمّامات ,4200000
مدينتي,مدينتي b11,96,2,2,٢ غرفتا نوم | حمّامين ,2650000
مدينة الرحاب,لقطه شقه للبيع في مدينتي B6 قريبه من الخدمات فيو وايد جاردن بحري,132,3,2,٣ غرف نوم | حمّامين ,4000000
أخرى,الدقي شارع التحرير الرئيسى,200,3,2,٣ غرف نوم | حمّامين ,4500000
مدينة نصر,"#كود 57
شقه للبيع بكمبوند جولدن سيتي مدينه نصر
تشطيب الترا سوبر لوكس
البيع بالفرش",140,2,2,٢ غرفتا نوم | حمّامين ,800
عين شمس,شقة جاهزة للسكن المباشر,100,3,1,٣ غرف نوم | حمّام ,420000
التجمع الخامس,من المالك شقة في كمبوند به كل الخدمات الحيويه في موقع متميز في التجمع,135,2,2,٢ غرفتا نوم | حمّامين ,0
التجمع الخامس,شقق وفيلات في ماونتن فيو المستقبل سيتي بأسعار تبدأ من 4 مليون,160,3,3,٣ غرف نوم | ٣ حمّامات ,4200000
مدينة قباء,شقه 130 متر صافي قبل قباء,130,2,2,٢ غرفتا نوم | حمّامين ,850000
التجمع الأول,استلام فوري في التجمع,115,3,1,٣ غرف نوم | حمّام ,1350000
الزيتون,شقة للبيع واجهة,110,3,1,٣ غرف نوم | حمّام ,1000000
مدينة الشروق,أمتلك شقتك الان بالمنطقه السادسه.,255,3,3,٣ غرف نوم | ٣ حمّامات ,2100000
العاصمة الإدارية الجديدة,دوبلكس بتجربه الفيلا ومطبخك من لامبورجيني,151,3,3,٣ غرف نوم | ٣ حمّامات ,500000
مدينة الشروق,شقه 250 م للبيع من شركه بن لادن السعوديه التجمع الخامس بالتقسيط fifth square,250,3,2,٣ غرف نوم | حمّامين ,2000000
التجمع الأول,شقة للبيع بموقع رائع بالتجمع و بنظام سداد حصري,175,3,2,٣ غرف نوم | حمّامين ,651000
مصر الجديدة,شقة فى مصر الجديدة عمارة جديدة بها اسانسير 3 غرف و3 حمام و3 تراس بحرى صريح  مطلوب 550  والباقى على د,155,3,3,٣ غرف نوم | ٣ حمّامات ,0
مدينتي,شقه للبيع في سراي سور في سور مدينتي,165,3,2,٣ غرف نوم | حمّامين ,600000
مدينة نصر,للبيع بالسعر القديم في القاهرة الجديدة,200,4,4,٤ غرف نوم | ٤ حمّامات ,800000
المعادي,شقة 431متر على النيل جاهزة للسكن متشطبة بالتكييفات بمقدم 5 مليون,431,5,5,٥ غرف نوم | ٥ حمّامات ,5000000
